candidate_id,module_family,side,regime_variant,fold_view,fold,active_days,trades,min_active_days,min_trades,below_min_activity,fold_result_interpretable
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,existing_project_folds,6,1,1,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,half_year_folds,1,1,1,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,half_year_folds,2,2,2,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,rolling_6_month_test_folds,1,1,1,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,rolling_6_month_test_folds,2,2,2,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,rolling_6_month_test_folds,3,2,2,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,quarterly_folds,1,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,quarterly_folds,2,1,1,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,quarterly_folds,3,1,1,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,quarterly_folds,4,1,1,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,existing_project_folds,1,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,existing_project_folds,2,1,1,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,existing_project_folds,3,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,existing_project_folds,4,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,existing_project_folds,5,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,existing_project_folds,6,1,1,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,half_year_folds,1,1,1,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,half_year_folds,2,2,2,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,rolling_6_month_test_folds,1,1,1,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,rolling_6_month_test_folds,2,2,2,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,rolling_6_month_test_folds,3,2,2,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,quarterly_folds,1,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,quarterly_folds,2,1,1,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,quarterly_folds,3,1,1,10,10,True,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,quarterly_folds,4,1,1,10,10,True,False
